comment,idea_id,task_id,user_id,created_at,processed,polarity,subjectivity_score,sentiment,sentiment_corenlp,subjectivity_score_corenlp,subjectivity,profanity,named_entities_corenlp,named_entities
what about ADA access?  pair a suspension bridge with elevators and it becomes less cost - effective.,22,6,61,8/22/2017 14:46,ada access pair suspension bridge elevators becomes less cost effective,0.216666667,0.433333333,Positive,"Negative,Negative,","1,1,",Fact,0.069957947,"ORGANIZATION-ADA,",['ADA']
It looks all but impossible to cross the intersections by walkers or bikers.,27,16,63,8/22/2017 21:36,looks impossible cross intersections walkers bikers,-0.333333333,0.5,Negative,"Negative,","1,",Opinion,0.077146582,,[]
The future seems to be more pedestrian oriented and designing that aspect should be integrated into the project.,27,14,63,8/22/2017 21:38,future seems pedestrian oriented designing aspect integrated project,0.25,0.3125,Positive,"Negative,","1,",Fact,0.061098771,"DATE-The future,",[]
It is a necessity change for the future growth of the area.,27,6,63,8/22/2017 21:45,necessity change future growth area,0,0.125,Positive,"Positive,","3,",Fact,0.06899993,"DATE-the future,",[]
Right now this intersection is kind of a no-man's land.  This would bring pedestrians into the area and make it vital.,6,16,65,8/23/2017 23:12,right_now intersection kind man land bring pedestrians area make vital,0.328571429,0.611904762,Positive,"Positive,Positive,","3,3,",Opinion,0.163582679,"DATE-Right now,",[]
"Increase pedestrian traffic, which would pave the way for pedestrian businesses, like restaurants, clothing stores, banks, etc.",6,15,65,8/23/2017 23:13,increase pedestrian traffic pave way pedestrian businesses like restaurants clothing stores banks etc,0,0,Positive,"Negative,","1,",Fact,0.044523728,,[]
East Village is a very walkable area.  This will expand that pedestrian presence right into Barrio Logan.  It will bring the area back to life.,6,10,65,8/23/2017 23:15,east_village walkable area expand pedestrian presence right barrio_logan bring area back life,0.161904762,0.278571429,Positive,"Positive,Positive,Positive,","3,3,3,",Fact,0.119236014,"LOCATION-East Village Barrio,CITY-Logan,","['East Village', 'Barrio Logan']"
"At first, it might cause severe traffic problems and accidents, as people would not be used to the changes.  In the long run, I think it's a great idea.  If we could do this on several streets downtown, it would make the whole area more livable and inviting.  Encouraging pedestrian, bicycling and public transit will enhance our city.",15,14,65,8/23/2017 23:18,first might cause severe traffic problems accidents people used changes long run think great_idea several streets downtown make whole area livable inviting encouraging pedestrian bicycling public_transit enhance city,0.242857143,0.35,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Fact,0.021875771,"ORDINAL-first,CAUSE_OF_DEATH-accidents,",[]
"I would prefer a roundabout, with safe crosswalks, encouraging pedestrian access.  In my experience, people often just avoid bridges, because they don't want to take the extra time to climb up to them.  I think pedestrians would just run across the street between cars to avoid using the bridge.",22,16,65,8/23/2017 23:23,prefer roundabout safe crosswalks encouraging pedestrian access experience people often avoid bridges don want take extra time climb think pedestrians run across street cars avoid using bridge,0.25,0.3,Positive,"Negative,Negative,Negative,","1,1,1,",Fact,0.055821266,,[]
"An open space, with artwork and benches, would be much more attractive for me.  There are very few places to stop and sit down when one is walking in the East Village.  Comfortable seats would really attract me.",22,17,65,8/23/2017 23:26,open space artwork benches much attractive places stop sit one walking east_village comfortable seats really attract,0.212063492,0.488412698,Positive,"Negative,Negative,Negative,","1,1,1,",Fact,0.10276072,"NUMBER-one,LOCATION-East Village,","['the East Village', 'Comfortable']"
It only impacts safety if people use it.  Right now there aren't many pedestrians in the area.  I think closing 14th street to vehicle traffic and making this murillo into a small park would do a lot more to increase safety in the area.,22,14,65,8/23/2017 23:28,impacts safety people right_now aren many pedestrians area think closing 14th street vehicle traffic making murillo small park lot increase safety area,0.207142857,0.587142857,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.070919774,"DATE-Right now,ORDINAL-14th,",[]
"Not feasible, as much as I would love this.  Perhaps a portion of the green street could be closed to traffice",15,6,66,8/24/2017 1:44,feasible much love perhaps portion green street closed traffice,0.1,0.3,Positive,"Neutral,Neutral,","2,2,",Fact,0.071498753,,[' ']
Great idea but I would concentrate on one thing and my preference would be a green street.  We have the climate to do this.  New York does not.,15,5,66,8/24/2017 1:50,great_idea concentrate one thing preference green street climate new york,0.245454545,0.501515152,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.01907079,"NUMBER-one,STATE_OR_PROVINCE-New York,","[' ', 'New York']"
"It would change things.  That would be good, as far as I am concerned.",15,15,66,8/24/2017 1:51,change things good far concerned,0.4,0.8,Positive,"Positive,Positive,","3,3,",Opinion,0.075335323,,[]
I would like a tree shaded green space where residents can gather to hear music or attend a farmers market. Also the tower concept would probably just offer more architecture . How about a sky lift to take us to BalboaPark or over to Coronado or Little Italy? We need plazas to meet others and people watch with sidewalk cafes.,1,17,67,8/24/2017 2:05,like tree shaded green space residents gather hear music attend farmers market also tower concept probably offer architecture sky lift take us balboapark coronado little italy need plazas meet others people watch sidewalk cafes,0.0375,0.433333333,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Fact,0.014832677,"COUNTRY-Italy,","['BalboaPark', 'Coronado', 'Italy']"
The automobile must be routed around the area,1,14,67,8/24/2017 2:07,automobile must routed around area,0,0,Positive,"Neutral,","2,",Fact,0.128605816,,[]
"The property values would increase as the area would give the neighborhood a cultural gathering and artful space for all kinds of special events. Are exhibits, live acting and dance parties.",1,16,67,8/24/2017 2:11,property values increase area give neighborhood cultural gathering artful space kinds special events exhibits live acting dance parties,0.148376623,0.292857143,Positive,"Neutral,Neutral,","2,2,",Fact,0.022884294,,[]
The transportation is in place and will facilitate access withou needing a lot of parking,1,15,67,8/24/2017 2:12,transportation place facilitate access withou needing lot parking,0,0,Positive,"Negative,","1,",Fact,0.092273941,,[]
"Public art is great in theory, but most public art is polarizing.",6,16,68,8/24/2017 23:35,public_art great theory public_art polarizing,0.325,0.345833333,Positive,"Positive,","3,",Fact,0.02859308,,[]
Subpar art is not a reason to get me to go anywhere.,6,17,68,8/24/2017 23:37,subpar art reason get go anywhere,0,0,Positive,"Negative,","1,",Fact,0.073052885,,[]
Unless the art is staffed by security.,6,14,68,8/24/2017 23:38,unless art staffed security,0,0,Positive,"Negative,","1,",Fact,0.073625175,,[]
The sound of running water has been known to calm people.,4,14,68,8/24/2017 23:39,sound running water known calm people,0.35,0.575,Positive,"Neutral,","2,",Opinion,0.084385778,,[]
Fountains are pretty.,4,16,68,8/24/2017 23:39,fountains pretty,0.25,1,Positive,"Positive,","3,",Opinion,0.102896143,,['Fountains']
A giant plaza with no market will become a homeless destination.,14,10,68,8/24/2017 23:41,giant plaza market become homeless destination,0,1,Positive,"Negative,","1,",Opinion,0.099281698,,[]
"We had big dreams for Horton Plaza Park and look how that has turned out,.",14,16,68,8/24/2017 23:42,big dreams horton plaza park look turned,0,0.1,Positive,"Negative,","1,",Fact,0.126118217,"LOCATION-Horton Plaza Park,",['Horton Plaza Park']
"Given its proximity to the 12th & Imperial stop, this could be a good place to wait for the next train or bus.",14,15,68,8/24/2017 23:42,given proximity 12th imperial stop good place wait next train bus,0.35,0.3,Positive,"Negative,","1,",Fact,0.1713502,"ORDINAL-12th,CRIMINAL_CHARGE-train,",['& Imperial']
Great thought.,31,16,68,8/24/2017 23:43,great thought,0.8,0.75,Positive,"Positive,","3,",Opinion,0.086708989,,[]
Most safety isssues are perception issues.Help the homeless; elevate the perception of safety for everyone else.,31,14,68,8/24/2017 23:43,safety isssues perception issues help homeless elevate perception safety everyone else,0.5,0.5,Positive,"Negative,","1,",Opinion,0.142186251,,[]
Far more attractive to walk on a clean street and not have to step over a human sleeping in a nook.,31,15,68,8/24/2017 23:44,far attractive walk clean street step human sleeping nook,0.353333333,0.66,Positive,"Negative,","1,",Opinion,0.201772235,,[]
More housing is what we need.,1,16,68,8/24/2017 23:46,housing need,0.5,0.5,Positive,"Neutral,","2,",Opinion,0.132974457,,[]
An interesting building like the Flatiron is way more impressive than some new homeless park.,1,17,68,8/24/2017 23:47,interesting building like flatiron way impressive new homeless park,0.534090909,0.613636364,Positive,"Positive,","3,",Opinion,0.030847904,"LOCATION-Flatiron,",['Flatiron']
More development = more money to Clean and Safe.,1,14,68,8/24/2017 23:47,development money clean safe,0.466666667,0.55,Positive,"Negative,","1,",Opinion,0.054273707,,['Clean and Safe']
This is a waste of time. You are over-engineering a place without any soul yet. Let the area develop then go back in with your fancy lights.,1,5,68,8/24/2017 23:48,waste time engineering place without soul yet let area develop go back fancy lights,-0.1,0,Negative,"Neutral,Neutral,Neutral,","2,2,2,",Fact,0.099912846,,[]
More people living and working near a major transit center means less use for a personal car.,1,15,68,8/24/2017 23:49,people living working near major transit center means less personal car,0.065972222,0.311111111,Positive,"Negative,","1,",Fact,0.047058652,,[]
Shouldn't happen.,10,6,68,8/24/2017 23:50,shouldn happen,0,0,Positive,"Negative,","1,",Fact,0.106984366,,[]
"This has \sucker\"" written all over it.""",24,17,68,8/24/2017 23:52,sucker written,0,0,Positive,"Negative,","1,",Fact,0.208218572,"NUMBER-\,",[]
This will do nothing for no body.,24,15,68,8/24/2017 23:54,nothing body,0,0,Positive,"Negative,","1,",Fact,0.123013108,,[]
This is nonsense.,25,10,68,8/24/2017 23:56,nonsense,0,0,Positive,"Negative,","1,",Fact,0.201623955,,[]
Nonsense,25,5,68,8/24/2017 23:57,nonsense,0,0,Positive,"Neutral,","2,",Fact,0.201623955,,[]
I think a full time promenade on a street with no current importance is silly. The examples given in the description became pedestrian only after they were successful streets. Stop putting the cart before the horse.,15,12,68,8/24/2017 23:59,think full time promenade street current importance silly examples given description became pedestrian successful streets stop putting cart horse,0.12,0.755,Positive,"Neutral,Neutral,Neutral,","2,2,2,",Opinion,0.101633202,"DATE-current,",[]
"A pedestrian promenade would be nice, just not on 14th..",15,16,68,8/24/2017 23:59,pedestrian promenade nice 14th,0.6,1,Positive,"Neutral,Neutral,","2,2,",Opinion,0.102665084,"ORDINAL-14th,",[]
"It would take time for me to visit. I think it would take almost a full decade for the promenade to \fill-in\"" before that it will feel deserted.""",15,17,68,8/25/2017 0:01,take time visit think take almost full decade promenade fill feel deserted,0.35,0.55,Positive,"Neutral,Neutral,","2,2,",Opinion,0.067502466,"DURATION-decade,",[]
Segregated walk spaces? You are asking for trouble.,22,14,68,8/25/2017 0:01,segregated walk spaces asking trouble,-0.2,0.2,Negative,"Negative,Negative,","1,1,",Fact,0.070145129,,[]
Getting mugged will be the least of your problems.,22,16,68,8/25/2017 0:03,getting mugged least problems,-0.3,0.4,Negative,"Negative,","1,",Fact,0.110668785,,[]
Awful. Just awful.,22,6,68,8/25/2017 0:04,awful awful,-1,1,Negative,"Negative,Negative,","1,1,",Opinion,0.328813067,,[]
"Yeah, this person hit the nail on the head. Don't make walking the hardest option.",22,10,68,8/25/2017 0:04,yeah person hit nail head don make walking hardest option,0,0,Positive,"Neutral,Neutral,","2,2,",Fact,0.071253812,,[]
You already asked me this.,22,5,68,8/25/2017 0:04,already asked,0,0,Positive,"Neutral,","2,",Fact,0.124339799,,[]
This idea is not an idea.,27,5,68,8/25/2017 0:05,idea idea,0,0,Positive,"Negative,","1,",Fact,0.064772818,,[]
This is just fluff. It doesn't mean anything. There were no concrete ideas.,27,6,68,8/25/2017 0:05,fluff doesn mean anything concrete ideas,-0.1625,0.429166667,Negative,"Negative,Negative,Negative,","1,1,1,",Fact,0.082174097,,[]
Garbage,27,10,68,8/25/2017 0:05,garbage,0,0,Positive,"Neutral,","2,",Fact,0.299655678,,[]
This sounds like an entry level course paper written by freshman.,27,17,68,8/25/2017 0:06,sounds like entry level course paper written freshman,0,0,Positive,"Negative,","1,",Fact,0.031537442,,[]
Without more context I cannot speak to what a double diamond interchange is.,27,12,68,8/25/2017 0:06,without context speak double diamond interchange,0.25,0.25,Positive,"Negative,","1,",Fact,0.071110765,,[]
This is fluff. The participant did not provide any concrete ideas for their concept.,26,6,68,8/25/2017 0:07,fluff participant provide concrete ideas concept,0.025,0.3,Positive,"Negative,Negative,","1,1,",Fact,0.0476264,,[]
Meh. Sounds forced.,26,10,68,8/25/2017 0:08,meh sounds forced,-0.3,0.2,Negative,"Neutral,Neutral,","2,2,",Fact,0.118447355,,['Meh']
Traffic circles will not inspire me to go anywhere.,3,17,68,8/25/2017 0:09,traffic circles inspire go anywhere,0,0,Positive,"Negative,","1,",Fact,0.070368366,,[]
Roundabouts are safer than traditional intersections.,3,16,68,8/25/2017 0:10,roundabouts safer traditional intersections,0,0.75,Positive,"Neutral,","2,",Opinion,0.080275442,,['Roundabouts']
No one is going to care that some four year old painted on the side of a building.,2,15,68,8/25/2017 0:13,one going care four year old painted side building,0.1,0.2,Positive,"Neutral,","2,",Fact,0.080858782,"NUMBER-one,DURATION-four year old,",[]
Bad art is not good enough to get me to visit.,2,17,68,8/25/2017 0:13,bad art good enough get visit,-0.35,0.588888889,Negative,"Negative,","1,",Opinion,0.079991115,,[]
"I think a half-a-million dollar condo next to some ugly mural is, in fact, going to have a negative impact on quality of life.",2,16,68,8/25/2017 0:14,think half million dollar condo next ugly mural fact going negative impact quality_life,-0.333333333,0.466666667,Negative,"Negative,","1,",Fact,0.293588838,,[]
"Why not have a three or four story observatory tower at this end.  At the roof top area can have telescopes to view the entire Promenade walkway and the entire East Village neighborhood.  The middle level could house a cafe/restaurant with tables, chairs, and provide a relaxing atmosphere to interact with neighbors.  The first floor will be just to travel across the street -- ada provisions needed (elevators or escalators).",22,5,73,8/26/2017 2:06,three four story observatory tower end roof top area telescopes view entire promenade walkway entire east_village neighborhood middle level house cafe restaurant tables chairs provide relaxing atmosphere interact neighbors first floor travel across street ada provisions needed elevators escalators,0.15,0.416666667,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Fact,0.008071513,"NUMBER-three four,LOCATION-East Village,ORDINAL-first,","['Promenade', 'East Village']"
"A two story triangle platform would not attract residents or tourists interests.  Again, try using a taller structure similar to the Paris Ethel Tower on a much smaller scale.  It would complete the connection along the Promenade with a spectacular landmark for both neighborhoods.",22,17,73,8/26/2017 2:11,two story triangle platform attract residents tourists interests try using taller structure similar paris ethel tower much smaller scale complete connection along promenade spectacular landmark neighborhoods,0.175,0.55,Positive,"Positive,Positive,Positive,","3,3,3,",Opinion,0.010455663,"NUMBER-two,CITY-Paris,LOCATION-Ethel,CITY-Tower,","['Paris Ethel Tower', 'Promenade']"
"As mentioned before, this is not very imaginative.",22,16,73,8/26/2017 2:12,mentioned imaginative,-0.230769231,0.538461538,Negative,"Negative,","1,",Opinion,0.093333879,,[]
I answered this question under my first comments.,22,10,73,8/26/2017 2:12,answered question first comments,0.25,0.333333333,Positive,"Positive,","3,",Fact,0.065696804,"ORDINAL-first,",[]
I really like this design.,34,14,74,8/27/2017 19:53,really like design,0.2,0.2,Positive,"Positive,","3,",Fact,0.081731007,,[]
"I would have to know the cost to create this project, but I would like to believe it is very feasible.",34,6,74,8/27/2017 19:54,know cost create project like believe feasible,0.2,0.3,Positive,"Negative,","1,",Fact,0.076268723,,[]
I believe it will have a very possitive impact on the area and will become an important tourist attraction.,34,16,74,8/27/2017 20:03,believe possitive impact area become important tourist attraction,0.3,0.65,Positive,"Positive,","3,",Opinion,0.078629044,,[]
"Again, I find it difficult to connect the library with the Wonder Bread building.",27,16,74,8/27/2017 20:05,find difficult connect library wonder bread building,-0.5,1,Negative,"Negative,","1,",Opinion,0.049098911,,['Wonder Bread']
No idea.,27,5,74,8/27/2017 20:07,idea,0,0,Positive,"Neutral,","2,",Fact,0.088679192,,[]
No comment or ideas.,27,10,74,8/27/2017 20:07,comment ideas,0,0,Positive,"Neutral,","2,",Fact,0.124570765,,[]
I'm not sure about the pictures I am looking at under additional images.  Will there be an art piece placed in a green area?  Not sure it is needed.,33,6,74,8/27/2017 20:14,sure pictures looking additional images art piece placed green area sure needed,-0.233333333,0.692592593,Negative,"Positive,Positive,Positive,","3,3,3,",Opinion,0.027628689,,[]
Anytime you activate an area crime goes down.,33,14,74,8/27/2017 20:16,anytime activate area crime goes,-0.155555556,0.288888889,Negative,"Negative,","1,",Fact,0.139596867,,[]
The archway will allow a special conclusion of the promenade walkway.,33,17,74,8/27/2017 20:19,archway allow special conclusion promenade walkway,0.357142857,0.571428571,Positive,"Neutral,","2,",Opinion,0.117482872,,[]
"I don't have a problem with the name \El Nudillo\"" but it should be polled with other choices.  I do agree that the entire South Plan Focus project is missing the absolute necessity for high density projects to guaranty the future success of the area.""",32,6,74,8/27/2017 20:26,don problem name el nudillo polled choices agree entire south plan focus project missing absolute necessity high density projects guaranty future success area,0.047857143,0.373571429,Positive,"Negative,Negative,","1,1,",Fact,0.009072922,"NUMBER-\,DATE-the future,",[]
"Although I don't believe it will have a major impact on mobility, I still believe that the naming should be a community decision.",32,15,74,8/27/2017 20:28,although don believe major impact mobility still believe naming community decision,0.0625,0.5,Positive,"Negative,","1,",Opinion,0.025959113,,[]
It will have minimal effect on the quality of life in the area.,32,16,74,8/27/2017 20:29,minimal effect quality_life area,-0.1,0.6,Negative,"Positive,","3,",Opinion,0.150072224,,[]
"I like the idea of a transit hub, but one already exists just down the street",25,15,84,8/29/2017 5:24,like idea transit_hub one already exists street,-0.155555556,0.288888889,Negative,"Negative,","1,",Fact,0.102856793,"NUMBER-one,",[]
"Victoria Station is a transit hub with a variety of services, including a grocery store, restaurants and pharmacy.  Using public transit shouldn't isolate people from these conveniences, as it often does in San Diego (e.g., Old Town Transit Center).",25,5,84,8/29/2017 5:34,victoria station transit_hub variety services including grocery store restaurants pharmacy using public_transit shouldn isolate people conveniences often san_diego g old town transit center,0,0.122222222,Positive,"Negative,Negative,","1,1,",Fact,0.037645589,"CITY-Victoria,LOCATION-Station,CITY-San Diego Old Town,LOCATION-Transit Center,","['Victoria Station', 'San Diego', 'Old Town Transit Center']"
"Relatively feasible, but I'd need more information",25,6,84,8/29/2017 5:35,relatively feasible d need information,0.25,0.25,Positive,"Negative,","1,",Fact,0.124525352,,[]
"It could have a positive impact by connecting bus and trolley service, even more so if commercial and residential development were included",25,16,84,8/29/2017 5:35,positive impact connecting bus trolley service even commercial residential development included,0.242424242,0.348484848,Positive,"Negative,","1,",Fact,0.052353286,,[]
"Many projects offered will be at great expense. The other factor is the project or major elements within its body may ultimately be overtaken by the city to accommodate a sports stadium.  Whatever is placed and purposed should keep in mind that 5-10-15 years down the line,  the fabric of what is to be built may be unbound.  Whatever is built should accommodate thar inevitability and be proactively designed to adapt positively to future projects.",15,6,87,8/29/2017 9:19,many projects offered great expense factor project major elements within body may ultimately overtaken city accommodate sports stadium whatever placed purposed keep mind years line fabric built may unbound whatever built accommodate thar inevitability proactively designed adapt positively future projects,0.154563492,0.505555556,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Opinion,0.021157321,"DATE-5-10-15,DURATION-years,DATE-future,",[' ']
Whatever is built should accomodate tiny mom and pop merchants.  Not just vendors that can put tens or hundreds of thousands in a lease or license.,15,10,87,8/29/2017 9:24,whatever built accomodate tiny mom pop merchants vendors put tens hundreds thousands lease license,0,0.5,Positive,"Negative,Negative,","1,1,",Opinion,0.127084981,,[]
People will want to use it to get a different view of the city,24,15,93,8/29/2017 20:07,people want get different view city,0,0.6,Positive,"Neutral,","2,",Opinion,0.101451744,,[]
Love it,24,10,93,8/29/2017 20:07,love,0.5,0.6,Positive,"Neutral,","2,",Opinion,0.118436169,,[]
Open glass windows for visual,24,5,93,8/29/2017 20:08,open glass windows visual,0,0.25,Positive,"Neutral,","2,",Fact,0.079398541,,[]
Homeless,10,10,93,8/29/2017 20:09,homeless,0,0,Positive,"Neutral,","2,",Fact,0.140900221,,[]
There isn't really any park right now. But no one is going to go if there are people living in it all day :/ (similar to the dream of the park by Holsem),10,16,94,8/29/2017 20:16,isn really park right_now one going go people living day similar dream park holsem,0.058928571,0.533928571,Positive,"Negative,Negative,","1,1,",Opinion,0.073457765,"DATE-right now,NUMBER-one,DURATION-day,ORGANIZATION-Holsem,",['Holsem']
True- put things people can use and space to sit and relax,10,10,94,8/29/2017 20:17,true put things people space sit relax,0.35,0.65,Positive,"Neutral,","2,",Opinion,0.124503781,,[]
It's not safe right now,10,14,94,8/29/2017 20:19,safe right_now,0.017857143,0.517857143,Positive,"Negative,","1,",Opinion,0.076519641,"DATE-right now,",[]
Need more information,22,6,96,8/29/2017 20:28,need information,0.5,0.5,Positive,"Neutral,","2,",Opinion,0.107726816,,[]
How would it work for ADA?,22,15,96,8/29/2017 20:35,work ada,0,0,Positive,"Neutral,","2,",Fact,0.107249642,"ORGANIZATION-ADA,",['ADA']
"Not enough information. What does \romantic and cheap\"" mean?""",22,16,96,8/29/2017 20:35,enough information romantic cheap mean,-0.15625,0.59375,Negative,"Neutral,Neutral,","2,2,",Opinion,0.132843842,,['cheap\\']
Not enough information,22,17,96,8/29/2017 20:35,enough information,0,0.5,Positive,"Neutral,","2,",Opinion,0.118324176,,[]
Need to see renderings.,27,12,96,8/29/2017 20:36,need see renderings,0,0,Positive,"Neutral,","2,",Fact,0.110102087,,[]
Does it displace the homeless currently in the area?,27,16,96,8/29/2017 20:39,displace homeless currently area,0,0.4,Positive,"Negative,","1,",Fact,0.11176493,"DATE-currently,",[]
Not very feasible,27,6,96,8/29/2017 20:41,feasible,-0.1,0.3,Negative,"Neutral,","2,",Fact,0.113696882,,[]
Hard to visualize. Need renderings,27,5,96,8/29/2017 20:41,hard visualize need renderings,-0.291666667,0.541666667,Negative,"Neutral,Neutral,","2,2,",Opinion,0.112894469,,[]
"Now, the area is void of positive activity.  This idea would saturate the area with people and bus traffic and pollution.  Therefore, this idea has the potential to enliven the area and to further degrade the area.  It must be implemented carefully with no permanent bus parking, or long term waiting in the area.",25,16,104,8/29/2017 21:51,now area void positive activity idea saturate area people bus traffic pollution therefore idea potential enliven area degrade area must implemented carefully permanent bus parking long term waiting area,0.015454545,0.689090909,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Opinion,0.159974507,"DATE-Now,",[]
"At this point I am unclear how this would be a transit hub, since the adjacent north/ south streets are not appropriate for heavy bus traffic.  I do think the idea is worth further study.",25,6,104,8/29/2017 21:56,point unclear transit_hub since adjacent north south streets appropriate heavy bus traffic think idea worth study,-0.0375,0.4,Negative,"Positive,Positive,","3,3,",Fact,0.025483085,,[]
"If 14th St and National Street are designed to focus on providing a pedestrian and bike friendly urban path, the idea of a transit hub for bus and trolley may be misguided.",25,15,104,8/29/2017 21:59,14th st national street designed focus providing pedestrian bike friendly urban path idea transit_hub bus trolley may misguided,0.1875,0.25,Positive,"Negative,","1,",Fact,0.038089734,"ORDINAL-14th,",['National Street']
"Agree with Dennis - most of these look like another place for the homeless to camp out, bathe (the fountain) or panhandle.  Look at the library!",31,15,95,8/29/2017 22:00,agree dennis look like another place homeless camp bathe fountain panhandle look library,0.625,0.5,Positive,"Neutral,Neutral,","2,2,",Opinion,0.073428192,"PERSON-Dennis,",[]
Exactly!  Spend the money on housing for the homeless.  San Diego is a great city except that it is now occupied by homeless and their encampments!,31,12,95,8/29/2017 22:01,exactly spend money housing homeless san_diego great city except now occupied homeless encampments,0.65625,0.5,Positive,"Positive,Positive,Positive,","3,3,3,",Opinion,0.112463276,"CITY-San Diego,DATE-now,",['San Diego']
I couldn't agree more - it's totally disgusting that our beautiful new library is another homeless camp - who would bring their children to a library if they have to walk through the homeless camp to do it?,31,10,95,8/29/2017 22:02,couldn agree totally disgusting beautiful new library another homeless camp bring children library walk homeless camp,0.121590909,0.738636364,Positive,"Negative,","1,",Opinion,0.154221732,,[]
"The idea that San Diego is a city of neighborhoods is essential to the development of this particular site.  This juncture should not be seen in isolation, but as an opportunity to act as a catalyst to link neighborhoods.   It is not only a connector of neighborhoods, but also a transition point of one distinctly unique and cherished historical district (the Barrio) and another neighborhood also rich in history, but one more of transitions (East Village).  The link of these neighborhoods to Golden Hills and to Balboa Park is also essential to this idea.  The idea of the Nudillo should be one that can transform and be enriched over time.",25,5,104,8/29/2017 22:11,idea san_diego city neighborhoods essential development particular site juncture seen isolation opportunity act catalyst link neighborhoods connector neighborhoods also transition point one distinctly unique cherished historical district barrio another neighborhood also rich history one transitions east_village link neighborhoods golden hills balboa park also essential idea idea nudillo one transform enriched time,0.190740741,0.52037037,Positive,"Positive,Positive,Positive,Positive,Positive,","3,3,3,3,3,",Opinion,0.002730861,"CITY-San Diego,NUMBER-one one,LOCATION-East Village,CITY-Golden,LOCATION-Hills,CITY-Balboa,LOCATION-Park,NUMBER-one,","['San Diego', 'East Village', 'Golden Hills', 'Balboa Park', 'Nudillo']"
Make it as bike friendly as possible,14,5,109,8/30/2017 0:37,make bike friendly possible,0.1875,0.75,Positive,"Positive,","3,",Opinion,0.076140246,,[]
Should be  a no brainer,14,6,109,8/30/2017 0:37,brainer,0,0,Positive,"Neutral,","2,",Fact,0.107327655,,[]
Fits me to a tee,14,10,109,8/30/2017 0:39,fits tee,0,0,Positive,"Neutral,","2,",Fact,0.091247781,,[]
Continue to maintain the cultural relevance of the area and use local artists.,6,5,110,8/30/2017 0:42,continue maintain cultural relevance area local artists,0.05,0.05,Positive,"Positive,","3,",Fact,0.06072166,,[]
Agreed,6,10,110,8/30/2017 0:42,agreed,0,0,Positive,"Neutral,","2,",Fact,0.096784713,,[]
I love it,24,12,110,8/30/2017 0:43,love,0.5,0.6,Positive,"Positive,","3,",Opinion,0.118436169,,[]
All above ideas sound GREAT!,15,5,110,8/30/2017 0:44,ideas sound great,0.466666667,0.416666667,Positive,"Positive,","3,",Fact,0.122724092,,[]
It will bring people outdoors to participate in the community which leads to healthier lifestyles.,15,16,110,8/30/2017 0:45,bring people outdoors participate community leads healthier lifestyles,0,0,Positive,"Neutral,","2,",Fact,0.041700643,,[]
"Until more adequate housing options are available to people experiencing homelessness, this does not seem like a suitable place to gather",33,17,111,8/30/2017 0:52,adequate housing options available people experiencing homelessness seem like suitable place gather,0.445833333,0.495833333,Positive,"Negative,","1,",Fact,0.083415531,,[]
San Diego transit takes forever,25,16,114,8/30/2017 2:20,san_diego transit takes forever,0,0,Positive,"Neutral,","2,",Fact,0.104608269,"CITY-San Diego,",['San Diego']
"This was a confusing survey. Just to reiterate, I think it's a beautiful idea to have a bridge and the fact that it's inexpensive (shouldn't use the word \cheap\""btw) is a plus!""",22,17,116,8/30/2017 3:12,confusing survey reiterate think beautiful idea bridge fact inexpensive shouldn word cheap btw plus,0.35,0.7,Positive,"Negative,Negative,","1,1,",Opinion,0.03255811,,"['\\cheap\\""btw']"
For the better,22,16,116,8/30/2017 3:12,better,0.5,0.5,Positive,"Neutral,","2,",Opinion,0.110733047,,[]
"This survey seriously needs to be improved. I have no idea of 1 is not likely or likely or if 5 is likely/not likely. But just to be clear, I have to say that art is meaningful  and I would visit if it's there. I would be concerned, however, with the number of homeless people that frecuente the area and the art being manipulated or tampered with.",6,17,116,8/30/2017 3:18,survey seriously needs improved idea likely likely likely likely clear say art meaningful visit concerned however number homeless people frecuente area art manipulated tampered,0.044444444,0.758333333,Positive,"Negative,Negative,Negative,Negative,","1,1,1,1,",Opinion,0.016233727,"NUMBER-1 5,",[' ']
I like the idea of changing installments so to come on a regular basis to check them out. Plus it allows local to out of town artist feature their work.,6,12,116,8/30/2017 3:19,like idea changing installments come regular basis check plus allows local town artist feature work,0,0.038461538,Positive,"Positive,Positive,","3,3,",Fact,0.062584651,"TITLE-artist,",[]
It would encourage neighbors to walk around and look at art or installments.,6,15,116,8/30/2017 3:21,encourage neighbors walk around look art installments,0,0,Positive,"Negative,","1,",Fact,0.068119177,,[]
"My experience is that pedestrians rarely want to climb stairs to get to where they want to go. This idea also doesn't seem to solve the vehicular traffic issue. While the idea is feasible, i don't find it very effective.",22,6,117,8/30/2017 3:32,experience pedestrians rarely want climb stairs get want go idea also doesn seem solve vehicular traffic issue idea feasible don find effective,0.54,0.95,Positive,"Negative,Negative,Negative,","1,1,1,",Opinion,0.023066832,,[]
